Period,Period_Type,Year,Quarter,Gross Margin,Net Profit Margin,ROA,ROE, Current Ratio ,Debt-to-Equity,Debt-to-Assets,Company,,,,,,,,,,
3/31/2016,Quarterly,2016,1, 0.334 , 0.084 , 0.010 , 0.022 , 1.193 , 1.19 , 0.54 ,Almarai,,,,,,,,,,
3/31/2016,Quarterly,2016,1, 0.198 , 0.018 , 0.004 , 0.010 , 0.891 , 1.41 , 0.59 ,Savola,,,,,,,,,,
3/31/2016,Quarterly,2016,1, 0.398 , 0.050 , 0.007 , 0.018 , 0.916 , 1.83 , 0.65 ,NADEC,,,,,,,,,,
6/30/2016,Quarterly,2016,2, 0.187 , 0.037 , 0.010 , 0.024 , 0.876 , 1.43 , 0.59 ,Savola,,,,,,,,,,
6/30/2016,Quarterly,2016,2, 0.387 , 0.167 , 0.023 , 0.052 , 1.138 , 1.22 , 0.55 ,Almarai,,,,,,,,,,
6/30/2016,Quarterly,2016,2, 0.384 , 0.056 , 0.009 , 0.026 , 0.925 , 1.95 , 0.66 ,NADEC,,,,,,,,,,
9/30/2016,Quarterly,2016,3, 0.421 , 0.191 , 0.023 , 0.050 , 1.157 , 1.16 , 0.54 ,Almarai,,,,,,,,,,
9/30/2016,Quarterly,2016,3, 0.192 , 0.035 , 0.008 , 0.020 , 0.793 , 1.43 , 0.59 ,Savola,,,,,,,,,,
9/30/2016,Quarterly,2016,3, 0.370 , 0.052 , 0.007 , 0.020 , 0.875 , 1.85 , 0.65 ,NADEC,,,,,,,,,,
2016,Annual,2016,0, 0.177 ,-0.016 ,-0.016 ,-0.045 , 0.812 , 1.73 , 0.63 ,Savola,,,,,,,,,,
2016,Annual,2016,0, 0.385 , 0.150 , 0.074 , 0.160 , 1.095 , 1.17 , 0.54 ,Almarai,,,,,,,,,,
2016,Annual,2016,0, 0.385 , 0.043 , 0.023 , 0.066 , 0.774 , 1.85 , 0.65 ,NADEC,,,,,,,,,,
3/31/2017,Quarterly,2017,1, 0.348 , 0.095 , 0.011 , 0.025 , 0.924 , 1.27 , 0.56 ,Almarai,,,,,,,,,,
3/31/2017,Quarterly,2017,1, 0.180 , 0.005 , 0.001 , 0.003 , 0.736 , 1.67 , 0.63 ,Savola,,,,,,,,,,
3/31/2017,Quarterly,2017,1, 0.380 , 0.009 , 0.001 , 0.003 , 0.843 , 1.90 , 0.66 ,NADEC,,,,,,,,,,
6/30/2017,Quarterly,2017,2, 0.171 , 0.041 , 0.011 , 0.029 , 0.744 , 1.65 , 0.62 ,Savola,,,,,,,,,,
6/30/2017,Quarterly,2017,2, 0.414 , 0.177 , 0.022 , 0.048 , 0.989 , 1.20 , 0.55 ,Almarai,,,,,,,,,,
6/30/2017,Quarterly,2017,2, 0.351 , 0.045 , 0.006 , 0.018 , 0.804 , 2.00 , 0.67 ,NADEC,,,,,,,,,,
9/30/2017,Quarterly,2017,3, 0.449 , 0.197 , 0.022 , 0.046 , 1.081 , 1.14 , 0.53 ,Almarai,,,,,,,,,,
9/30/2017,Quarterly,2017,3, 0.188 , 0.154 , 0.036 , 0.085 , 0.806 , 1.37 , 0.58 ,Savola,,,,,,,,,,
9/30/2017,Quarterly,2017,3, 0.351 , 0.034 , 0.004 , 0.012 , 0.859 , 1.89 , 0.65 ,NADEC,,,,,,,,,,
2017,Annual,2017,0, 0.184 , 0.047 , 0.048 , 0.115 , 0.773 , 1.40 , 0.58 ,Savola,,,,,,,,,,
2017,Annual,2017,0, 0.401 , 0.155 , 0.068 , 0.145 , 1.180 , 1.14 , 0.53 ,Almarai,,,,,,,,,,
2017,Annual,2017,0, 0.360 , 0.020 , 0.010 , 0.028 , 0.759 , 1.87 , 0.65 ,NADEC,,,,,,,,,,
3/31/2018,Quarterly,2018,1, 0.388 , 0.105 , 0.011 , 0.022 , 1.359 , 1.08 , 0.52 ,Almarai,,,,,,,,,,
3/31/2018,Quarterly,2018,1, 0.178 ,-0.016 ,-0.003 ,-0.009 , 0.762 , 1.52 , 0.60 ,Savola,,,,,,,,,,
3/31/2018,Quarterly,2018,1, 0.343 ,-0.011 ,-0.001 ,-0.004 , 0.760 , 1.95 , 0.66 ,NADEC,,,,,,,,,,
6/30/2018,Quarterly,2018,2, 0.174 , 0.028 , 0.007 , 0.019 , 0.710 , 1.59 , 0.61 ,Savola,,,,,,,,,,
6/30/2018,Quarterly,2018,2, 0.394 , 0.181 , 0.021 , 0.044 , 1.035 , 1.08 , 0.52 ,Almarai,,,,,,,,,,
6/30/2018,Quarterly,2018,2, 0.379 , 0.035 , 0.005 , 0.014 , 0.737 , 1.92 , 0.66 ,NADEC,,,,,,,,,,
9/30/2018,Quarterly,2018,3, 0.422 , 0.193 , 0.020 , 0.046 , 1.170 , 1.28 , 0.56 ,Almarai,,,,,,,,,,
9/30/2018,Quarterly,2018,3, 0.179 ,-0.007 ,-0.002 ,-0.004 , 0.681 , 1.68 , 0.63 ,Savola,,,,,,,,,,
9/30/2018,Quarterly,2018,3, 0.385 , 0.061 , 0.008 , 0.024 , 0.728 , 1.89 , 0.65 ,NADEC,,,,,,,,,,
2018,Annual,2018,0,17.87%,-0.021 ,-0.021 ,-0.057 , 0.701 , 1.77 , 0.64 ,Savola,,,,,,,,,,
